Channel #,Time(s),SPR pixel position,SPR angle,Refractive Index
1,1327,81.8198336,68.2536596834018,1.32564042046035
1,1329,81.8436096,68.2522100628913,1.32562808442256
1,1330,81.8113984,68.2541739853266,1.32564479687944
1,1332,81.817984,68.2537724548359,1.32564138009092
1,1334,81.822176,68.2535168659089,1.3256392051448
1,1336,81.822496,68.2534973553492,1.32563903911766
1,1337,81.8082816,68.2543640206326,1.32564641394511
1,1339,81.8377024,68.252570220999,1.32563114939092
1,1341,81.8204736,68.2536206621945,1.32564008840746
1,1344,81.8398976,68.2524363808386,1.32563001040889
1,1346,81.822976,68.2534680895219,1.32563879007677
1,1347.63,81.8418752,68.252315807893,1.32562898432477
1,1349,81.8215232,68.2535566674705,1.32563954383985
1,1351,81.8432128,68.252234255458,1.32562829030451
1,1353,81.8329216,68.2528617048486,1.32563362989793
1,1355,81.845216,68.2521121221178,1.32562725093113
1,1356,81.8389952,68.2524913996433,1.32563047862074
1,1358.02,81.8475584,68.2519693083732,1.32562603555657
1,1360,81.8555392,68.2514827297147,1.32562189460837
1,1361,81.85904,68.251269291907,1.32562007815004
1,1363,81.8515392,68.2517266038412,1.32562397007146
1,1365,81.8473728,68.2519806242038,1.32562613185694
1,1367,81.8476416,68.2519642357603,1.32562599238742
1,1368,81.8523392,68.2516778289352,1.32562355498011
1,1370,81.8607232,68.2511666703476,1.32561920478457
1,1372,81.8545472,68.251543210404,1.32562240932469
1,1374,81.83232,68.2528983843106,1.32563394203509
1,1375,81.8509312,68.2517636727967,1.32562428554046
1,1377,81.8475776,68.2519681377702,1.32562602559446
1,1379,81.8816896,68.2498884030791,1.32560832566958
1,1381,81.8464128,68.2520391543964,1.32562662996174
1,1382,81.8545664,68.2515420398095,1.32562239936245
1,1383.9,81.8676992,68.2507413585646,1.32561558510305
1,1386,81.8672192,68.2507706230386,1.32561583416525
1,1387,81.8651136,68.2508989967025,1.32561692671541
1,1389,81.8440256,68.2521846997272,1.32562786857841
1,1391,81.8654272,68.2508798772029,1.32561676399545
1,1394,81.8893632,68.2494205704295,1.32560434385757
1,1396,81.86752,68.2507522839665,1.3256156780863
1,1398,81.8532736,68.2516208598961,1.32562307015261
1,1400,81.8792448,68.2500374547948,1.32560959425797
1,1401,81.8715648,68.2505056825307,1.32561357931377
1,1403.01,81.8887872,68.2494556870133,1.32560464274457
1,1405,81.8916928,68.2492785435707,1.32560313502235
1,1406,81.8640384,68.2509645493196,1.32561748461167
1,1409.89,81.867936,68.2507269214295,1.32561546223228
1,1412,81.8850176,68.2496855060613,1.32560659878581
1,1413,81.8755968,68.2502598625057,1.32561148716677
1,1417,81.8895552,68.2494088649062,1.3256042442285
1,1419,81.8816448,68.2498911343899,1.32560834891602
1,1420.28,81.8985216,68.2488622195576,1.32559959151003
1,1422,81.894976,68.2490783799247,1.32560143135256
1,1424,81.8876352,68.2495259202436,1.32560524051759
1,1425,81.8781504,68.2501041770199,1.32561016213199
1,1427,81.9011072,68.2487045868654,1.32559824981193
1,1429,81.9045056,68.248497401963,1.32559648633232
1,1431,81.9031296,68.2485812903009,1.32559720036028
1,1432,81.9142912,68.2479008227608,1.3255914083769
1,1436,81.8900288,68.2493799912921,1.32560399847663
1,1438,81.8850176,68.2496855060613,1.32560659878581
1,1441,81.9063232,68.2483865915042,1.32559554314831
1,1443,81.8999488,68.2487752093809,1.32559885092007
